Publication Type,Authors,Book Authors,Book Editors,Author Full Names,Book Author Full Names,Article Title,Source Title,Book Series Title,Abstract,Publication Year,Volume,Issue,Start Page,End Page
J,"Berkhout, JJ; Helmich, E; Teunissen, PW; van der Vleuten, CPM; Jaarsma, ADC",,,"Berkhout, Joris J.; Helmich, Esther; Teunissen, Pim W.; van der Vleuten, Cees P. M.; Jaarsma, A. Debbie C.",,Context matters when striving to promote active and lifelong learning in medical education,MEDICAL EDUCATION,,"Where do we stand now?In the 30 years that have passed since The Edinburgh Declaration on Medical Education, we have made tremendous progress in research on fostering self-directed and independent study' as propagated in this declaration, of which one prime example is research carried out on problem-based learning. However, a large portion of medical education happens outside of classrooms, in authentic clinical contexts. Therefore, this article discusses recent developments in research regarding fostering active learning in clinical contexts. Self-regulated, lifelong learning in medical educationClinical contexts are much more complex and flexible than classrooms, and therefore require a modified approach when fostering active learning. Recent efforts have been increasingly focused on understanding the more complex subject of supporting active learning in clinical contexts. One way of doing this is by using theory regarding self-regulated learning (SRL), as well as situated learning, workplace affordances, self-determination theory and achievement goal theory. Combining these different perspectives provides a holistic view of active learning in clinical contexts. Entry to practice, vocational training and continuing professional developmentResearch on SRL in clinical contexts has mostly focused on the undergraduate setting, showing that active learning in clinical contexts requires not only proficiency in metacognition and SRL, but also in reactive, opportunistic learning. These studies have also made us aware of the large influence one's social environment has on SRL, the importance of professional relationships for learners, and the role of identity development in learning in clinical contexts. Additionally, research regarding postgraduate lifelong learning also highlights the importance of learners interacting about learning in clinical contexts, as well as the difficulties that clinical contexts may pose for lifelong learning. However, stimulating self-regulated learning in undergraduate medical education may also make postgraduate lifelong learning easier for learners in clinical contexts. In this article the authors review developments in supporting active learning in medical education with particular emphasis on translating the ideas from a variety of important theories to the clinical context.",2018,52,1,34,44
C,"Nizkodubov, G; Zyubanov, V; Johnson, AW",,"Anderson, GDS; Erdal, M","Nizkodubov, Gavriil; Zyubanov, Vadim; Johnson, Anthony W.",,The Socio-psychological Difficulties of Learning the English Language in the Context of Lifelong Education,XVTH INTERNATIONAL CONFERENCE LINGUISTIC AND CULTURAL STUDIES: TRADITIONS AND INNOVATIONS (LKTI 2015),Procedia Social and Behavioral Sciences,"The paper deals with some of the common problems that adult educators face when teaching adult language learners, in particular learners who have considerable educational and life experience but still seem to be stuck at the lower levels of elementary and pre-intermediate due to their low self-esteem, high level of anxiety, and fear of making mistakes. Adult learners face difficulties when listening to the target language. The types and extent of difficulties have been conducted, and listening comprehension research has been conducted on the problems faced by adult language learners. The results of this body of research show that a number of factors may negatively influence English language acquisition; the latter have undergone a detailed review in the paper. (C) 2015 The Authors. Published by Elsevier Ltd.",2015,206,,210,214
C,"Hwang, HD; Seo, D",,"Baskan, GA; Ozdamli, F; Kanbul, S; Ozcan, D","Hwang, Hae-du; Seo, Daesung",,Policy implication of lifelong learning program of EU for Korea,4TH WORLD CONFERENCE ON EDUCATIONAL SCIENCES (WCES-2012),Procedia Social and Behavioral Sciences,"The EU launched the Lifelong Learning Program (LLP) in 2007. It is a breakthrough attempt to amalgamate the regular learning program with the job training. The LLP can be interpreted as an extension of the Lisbon Strategy which pursues to facilitate the knowledge-based economy. The LLP is the key to employment, economic success and allowing people to participate fully in society in a rapidly changing world. Other merits of the LL of EU comprise a more integrated interdisciplinary approach and a more vigorous stance on the mutual interaction between the LL and conventional education system. The Korean government has implemented LL in a hierarchic way, thus, it may be required to induce the participation of stakeholder of local communities. Another feature may be the affluent corporate sector and impoverished private sector in delivering LL. It may be noticeable that the wedge between public and private education institutions has increased all the way which hardly contribute for alleviating the personal distribution of income and social exclusion. It may be a due time for Korea to reverse the megatrend of predominance of private sector in LL by rebalancing the available funds between the public and private ones. It may be worthwhile for Korea to capture new attributes of the LLP of the EU which reinforces an automatic feedback system between regular academic courses and job training ones by reflecting economic, social and environmental issues simultaneously. (C) 2012 Published by Elsevier Ltd. Selection and/or peer review under responsibility of Prof. Dr. Huseyin Uzunboylu",2012,46,,4822,4829
J,"Walczak, R; Kalman, A",,,"Walczak, Renata; Kalman, Aniko",,LIFELONG LEARNING EXPECTATIONS OF YOUNG ACADEMICS - ANALYSIS OF POLISH AND HUNGARIAN TECHNICAL UNIVERSITIES,FOUNDATIONS OF MANAGEMENT,,"This article presents a qualitative study of lifelong learning (LLL) requirements of university employees from the Warsaw University of Technology (WUT) and the Budapest University of Technology and Economics (BME). The main aim of the study was to gain understanding of young people expectations and attitudes towards LLL. Aims of the study included: identification of employees' requirements in terms of LLL; identification of education activities and employee perception of university activities. Data for the study were gathered in individual interviews. The same, standardized open-ended questions were used in both institutions to allow comparison of the results. Interview questions concerned the willingness of participation in LLL, education forms, areas of education and perception of the university. The participants of the interviews were 24 young people from the WUT and BME. Research shows that there are no significant differences between Polish and Hungarian representatives who are eager to learn and have many interests and positive features; however, they have high requirements and expectations. This research will allow to prepare informative and effective LLL universities' strategies.",2018,10,1,207,224
C,"Vatuiu, T; Udrica, M",,"Patrut, B","Vatuiu, T.; Udrica, M.",,Informal Learning - An Environment for Developing Key Competencies Needed in Lifelong Learning,SMART 2013: SOCIAL MEDIA IN ACADEMIA: RESEARCH AND TEACHING,,"As part of the European Union, Romania has established strategic goals for the transition to a high quality educational system. In this respect, the efforts to align with standards requested by the European Community became more pregnant. Romanian integration strategy 2007-2013 stipulates, through specific objectives, the requirement, that the education should be based on the development of a set of key competences. At the same time, we assume that the development of key competences needs an optimal correlation between the formal and informal learning. The individual performances in the personal and professional field start in the formal environment and can continue by virtual learning environment, as a part of lifelong learning. For creating the environment that helps learners to prepare for their career or to assess learner's progress, along with the standards from formal learning, we need content standards and skill standards for informal learning too. They measure the individual performances and help learners to assess their competences in relation with performance and occupational standards from business environment.",2013,,,73,78
C,"Savuran, Y",,"Chova, LG; Martinez, AL; Torres, IC","Savuran, Yigit",,LIFELONG LEARNING COMPETENCIES OF PROSPECTIVE ELT TEACHERS,EDULEARN14: 6TH INTERNATIONAL CONFERENCE ON EDUCATION AND NEW LEARNING TECHNOLOGIES,EDULEARN Proceedings,"The term 'lifelong learning' has become ubiquitous in educational policy documents developed over the past ten years. Lifelong learning that sets the basis of this research, is an approach that covers all the learning activities of the people that they perform throughout their lives to develop their knowledge, skills, and attitudes with a personal, social and/or employment viewpoint in order to orient themselves to changing conditions of the world. The problem of this research stems from the need to define the lifelong learning competencies of prospective English language teachers. Lifelong learning is a key concept of education and bears strong relationships with the economy of the country and it is also highly related with language development of the individuals; therefore, it is requisite for us to define the prospective language teachers' lifelong learning competencies. If we can make a clear and strong frame of the lifelong learning competencies of the teachers of the future, we can make more reliable comments on the effects of lifelong learning studies and their possible reflections for the future of our country. With this study, it is aimed to define the lifelong learning competencies of prospective English language teachers at Anadolu University in Turkey. It is also aimed to define the competencies of the participants in different categories to be able to make comments on how the participants differ among each other in terms of those categories. The research questions of the study are as follows: 1. What are the levels of lifelong learning competencies of prospective English language teachers with reference to; a- self-management competencies, b- competencies of how to learn, c- competencies of initiative and entrepreneurship, d- competencies on acquiring information, e- digital competencies, f- competencies of decision-taking. To find answers to this specific question a questionnaire adopted from Uzunboylu and Hursen (2010) will be administered to our subject group and SPSS 20.0 will be run for data analysis. At the end of the study some recommendations will be made for language educators to increase the awareness of the prospective-language teachers on this issue.",2014,,,1498,1506
J,"Mias, A; Verdier, E; Zimmermann, B",,,"Mias, Arnaud; Verdier, Eric; Zimmermann, Benedicte",,Lifelong learning. In search of collective supports for individual commitment,SOCIOLOGIE DU TRAVAIL,,"This introduction offers a cross-reading of the three articles gathered in the thematic issue that Sociologie du travail devotes to continuing vocational training. While focusing on the actors involved in training, their interdependencies and respective responsibilities, as well as on the institutional environments in which training takes place, it develops two transversal lines of analysis. The first examines the interdependence between institutional frameworks and organisational practices, whereas the second one addresses the regimes of responsibility involved in the field of continuing vocational training from the point of view of their possible societal specificity.",2021,63,4,,
B,"Pascoe, S",,"Aspin, DN; Chapman, JD","Pascoe, Susan",,Values Education and Lifelong Learning: Policy Challenge Values Education in Australia's Government and Non-government Schools,"VALUES EDUCATION AND LIFELONG LEARNING: PRINCIPLES, POLICIES, PROGRAMMES",Lifelong Learning Book Series,,2007,10,,346,361
J,"Barratt, RS",,,"Barratt, RS",,Meeting lifelong learning needs by distance teaching - Clean technology,JOURNAL OF CLEANER PRODUCTION,,"The role of education and training is increasingly implicit, if not explicit, in environmental legislation and in management system standards. The consequence of these pressures is that organisations must develop their personnel for continuous improvement in environmental performance. Continuing professional development is a lifelong activity that can be supported by distance learning. Some approaches to this are described including various electronic resources, but all emphasise the broad range of issues that come into environmental decision making. The approaches also reflect the growth in corporate environmental reporting and the disclosure of environmental performance indicators. Performance measures of different media are outlined, while the efficiency, especially in relation to energy use, makes distance learning an application of cleaner production principles. (c) 2006 Elsevier Ltd. All rights reserved.",2006,14,9-11,906,915
J,"Marks, A",,,"Marks, A",,A 'grown up' university? Towards a manifesto for lifelong learning,JOURNAL OF EDUCATION POLICY,,This paper considers the nature of the university as an institution in a time of great change in the function of the university. Lifelong Learning as a concept is highly politicized and its desired ends are not clear - possibilities are discussed. The debates herein are related to the position of the universities and their (potential and current) role in recruiting adult learners. Consideration is given to the ways in which the university must change if it is to become a fit place in which for adults to learn; continued and increased adult participation being crucial if lifelong learning is to become a reality.,2002,17,1,1,11
C,"Fat, S",,"Roceanu, I","Fat, Silvia",,LIFELONG LEARNING OF TEACHERS AND ICT IN THE KNOWLEDGE SOCIETY,"LET'S BUILD THE FUTURE THROUGH LEARNING INNOVATION!, VOL III",eLearning and Software for Education,"The article presents the key activities of a recent educational project (Lifelong learning of teachers of Romanian, English and French, in the knowledge society, POSDRU ID 87/1.3/S 62536), based on a teacher training program with ICT support. This project is implemented by Braila County School in partnership with the University of Bucharest, SIVECO Romania and TEHNE The Center for Development and Innovation in Education, sustained in January 2011 December 2013. Out of the 5000 teachers included in the target group were trained, using a form of applied curriculum, exchange experience and on-line collaboration. The aim of this paper is to describe an interesting link between the training curriculum and e-learning platform. We illustrate the results of the two training modules available on the project platform (Curriculum design and Differential education), both in interactive and text forms. We will present some evaluation results of the final report, including the impact of technology in teacher training. In this sense, the portal dedicated to teachers of Romanian, English, and French was appreciated as an efficient tool for professional communication. In synthesis, the project offered teachers new opportunities to develop a teaching career, through the certified training program and modern digital resources. In order to understand Mastery learning teaching models, this paper include a number of concrete examples of the lesson plans launched trough the national competitions, and presented during the two National Conferences.",2014,,,185,188
C,"Ruhizan, MY",,"Dondon, P; Martin, O","Ruhizan, M. Y.",,Features of Industry-Education Collaboration in Promoting Lifelong Learning for Engineering Educators of Malaysian Polytechnics,LATEST TRENDS ON ENGINEERING EDUCATION,Mathematics and Computers in Science and Engineering,"The aim of this article is to explore the features of industrial-education collaboration through in-service attachment training programme for polytechnics' lectures in Malaysia. The programme was initiated as a call for lifelong learning due to information overload, the advent of high-functionality systems, and a climate of rapid technological change. These have created new problems and challenges for education and training in producing quality and employable technical graduates. The analysis is based on a survey conducted on 157 polytechnics lecturers and 140 employers using questionnaires. The results show the agreement on all the features of the collaboration which grounded in the work based learning theories. However in the existing context, there are several features salient to lifelong learning need to be improved for more effective experiential learning collaboration. Several suggestions are presented.",2010,,,459,+
C,"Zuzeviciute, V; Ruibyte, L; Adamoniene, R; Stepanoviene, A; Praneviciene, B; Dobrzinskiene, R",,"Chova, LG; Martinez, AL; Torres, IC","Zuzeviciute, Vaiva; Ruibyte, Laima; Adamoniene, Ruta; Stepanoviene, Ausra; Praneviciene, Birute; Dobrzinskiene, Rasa",,OPEN EDUCATION RESOURCES FOR LIFELONG LEARNING OF TEACHERS: LITHUANIAN CASE,"INTED2016: 10TH INTERNATIONAL TECHNOLOGY, EDUCATION AND DEVELOPMENT CONFERENCE",INTED Proceedings,"The paper presents theoretical considerations of pressures that contemporary teachers experience in the context of high expectations for being at the frontier of innovations in their field of expertise (especially, teachers of natural sciences and technologies), also, at the frontier of innovations in pedagogical methodologies. The paper will present data from a pilot empiric study, completed in Lithuania, where teachers shared their ideas on how much of the materials they use are Open Educational Resources, and how much of the materials they produce they later designate as Open Educational Resources.",2016,,,3033,3043
J,"Bodea, CN; Dascalu, MI; Velikic, G; Stancu, S",,,"Bodea, Constanta-Nicoleta; Dascalu, Maria-Iuliana; Velikic, Gordana; Stancu, Stelian",,LIFELONG LEARNING AND EMPLOYABILITY IN THE DANUBE REGION COUNTRIES: INFLUENCES AND CORRELATIONS,AMFITEATRU ECONOMIC,,"A continuous challenge for education and lifelong learning is to assist individuals in acquiring skills and knowledge for successful work life, especially after the financial crisis which influenced negatively the employment growth in all European Union countries. The paper focuses on finding correlations between employability and lifelong learning in the Danube Region countries of the European Union and more explicitly in the ex-communist ones of this region. As research instruments, two online questionnaires were built based on a thorough literature review and a set of structured interviews and filled in by 390 IT students and 55 IT professors. The surveys' results revealed a clear positive correlation between the level of education and the opinion about the importance of obtaining a job as a result of the educational endeavors. A special attention in the survey was given to social networks, which were acknowledged as modern facilitators of lifelong learning activities. The conclusions of the current study are particularly important in the Romanian context, as the employment rate of recent graduates is in a decreasing trend, but also for all the Danube Region ex-communist countries, which have to boost their employment rates as well, to assure their economical growth. Identification of factors stimulating employment of young people according with their education contributes at the sustainable economic growth of these countries, at the growth of graduates insertion in the labor market and at the diminution of labor migration.",2016,18,43,521,536
C,"Stanef, MR; Manole, AM; Militaru, M",,"Baskan, GA; Ozdamli, F; Kanbul, S; Ozcan, D","Stanef, Mihaela Roberta; Manole, Alina Magdalena; Militaru, Madalina",,Lifelong learning - a way to reduce development gaps between rural and urban areas,4TH WORLD CONFERENCE ON EDUCATIONAL SCIENCES (WCES-2012),Procedia Social and Behavioral Sciences,"Agenda 21 recognizes education in all its forms (including public awareness and training) as an essential means for achieving progress towards sustainable development which will foster the implementation of all chapters of the Agenda. Education is no longer seen as an end in itself but rather as a key instrument for bringing about the changes in knowledge, values, behavior and lifestyles required to achieve sustainability. What all countries in the E. U. share, however, is a common international context of rapidly changing globalised economies, communications and human cultural perspectives, where knowledge is a key resource, and where the need for skilled workforces and active citizens is making increasing demands on education at all levels. Primarily, lifelong learning is expected to deliver competence development and labor market-related qualifications within and outside enterprises as part of human resource development to sustain economic growth. It is also expected to contribute to the maintenance of democratic values and institutions, and to societal and personal development, as well as reducing development gaps between rural and urban areas. Adopting a lifelong learning approach has important implications for national policy-making. Public policy has to create the frameworks legislative, governance, financial, institutional, learning, informational, qualifications and regulatory to motivate adults to engage in structured learning. In addition, this requires collateral policies in related areas such as employment, welfare, rural development and poverty reduction and monitoring and evaluation of policy impact across many ministries and agencies in order to reduce development gaps between rural and urban areas. (C) 2012 Published by Elsevier Ltd. Selection and/or peer review under responsibility of Prof. Dr. Huseyin Uzunboylu",2012,46,,4508,4512
C,"Mikroyannidis, A",,"Auer, ME; Hortsch, H; Michler, O; Kohler, T","Mikroyannidis, Alexander",,Work-in-Progress: Piloting Smart Blockchain Badges for Lifelong Learning,"MOBILITY FOR SMART CITIES AND REGIONAL DEVELOPMENT - CHALLENGES FOR HIGHER EDUCATION, VOL 1",Lecture Notes in Networks and Systems,"This paper presents work-in-progress regarding the definition and deployment of a pilot case study, which aims at supporting lifelong learning through the use of Blockchain technology. This pilot case study uses Blockchain technology in order to provide lifelong learners with transparent and immutable educational accreditation in the form of Smart Blockchain Badges. Additionally, within this pilot case study lifelong learners are provided with personalised recommendations that help them reach their personal and professional learning goals. This paper presents the latest findings from piloting Smart Blockchain Badges with stakeholders from the education community in the context of this pilot case study.",2022,389,,746,753
J,"Greif, R; Breckwoldt, J",,,"Greif, R.; Breckwoldt, J.",,Why lifelong learning without consistent feedback is not effective From feed-back to feed-forward,NOTFALL & RETTUNGSMEDIZIN,,"The process of feedback is regarded to be a fundamental element of medical education. This manuscript aims to show why effective feedback possesses this importance and how it reaches effectiveness. Data from empirical research are related to the principles of effective feedback. We propose a concept for the mutual development of a learning path by both the learner and the feedback-provider in order to improve learner performance. To facilitate this, the importance of an open learning climate is highlighted.",2012,15,3,193,197
C,"Musthofa, RM; Kutsiyah",,"Abdullah, AG; Hufad, A; Andriani, V; Danuwijaya, AA; Hasanah, VR; Kamarubiani, N; Purnoma","Musthofa, Royan Mahmud; Kutsiyah",,The Role of Family toward Early Childhood Education through Module: An Approach as Part of Lifelong Learning,PROCEEDINGS OF THE 3RD NFE CONFERENCE ON LIFELONG LEARNING (NFE 2016),Advances in Social Science Education and Humanities Research,"This research aim to propose an approach on how to educate the childhood by focusing the role of parents. The approach with the help of module that can used to be the manual direction of parents in order to giving the early education to their children. Child as a part of the family member are very influenced by the care of their parents to giving education to them. So, that the role of a parent in this case are very important to maximize all of the child's potential. This paper created by literature study. The parenting technique and the characteristic of early childhood education are the topics being focused on. Writer synthesize the characteristics of early childhood education and development, also the benefits of using module for guiding parents. Then make the relationship between both of them to conclude the new strategy or approach in early childhood education by parents. The result is the early childhood education approach based on family through the using of module can guide the parents to wisely educate their children so that it will increase the cognitive, physical, and socioemotional development. This approach strongly recommended to be implicated soon by developing and disseminating product (module which is develop in further research). So, within the use of module, the parents become knowledgeable on how to give the education to their early childhood.",2016,88,,64,67
J,"Demirel, M; Yagci, E",,,"Demirel, Melek; Yagci, Esed",,PERCEPTIONS OF PRIMARY SCHOOL TEACHER CANDIDATES ABOUT LIFELONG LEARNING,HACETTEPE UNIVERSITESI EGITIM FAKULTESI DERGISI-HACETTEPE UNIVERSITY JOURNAL OF EDUCATION,,"The aim of this study is to determine the perceptions of primary school teacher candidates about lifelong learning. The study group of this study has included 32 senior students studying at Hacettepe University, Department of Elementary Education. A phenomenological research design is used as a qualitative research technique in this study. Data were gathered through a semi-structured interview and analyzed via descriptive analysis. According to the findings of the research, there exists a similarity between the thoughts of teacher candidates about lifelong learning and the base lines of the definitions of the term in literature. Some participants have associated the term lifelong learning with the time of learning and some identified it with self-improvement and adjustment. With respect to the thoughts of teacher candidates, the basic skills taking place in elementary school curricula are formative. However, some problems are experienced while teaching these skills to students.",2012,,,100,111
C,"Pelnena, I; Medveckis, A",,"Lubkina, V; Danilane, L; Vindaca, O","Pelnena, Ivita; Medveckis, Arturs",,DEVELOPMENT OF TRANSVERSAL SKILLS IN PRIMARY SCHOOL (CLASSES 1-3): CONTEXT OF LIFELONG LEARNING,"SOCIETY, INTEGRATION, EDUCATION, VOL II: SCHOOL PEDAGOGY, PRESCHOOL PEDAGOGY",Sabiedriba Integracija Izglitiba-Society Integration Education,"The primary task of the 21st century education is not anymore to transfer continuous information, but the skill to acquire independently and learn this knowledge during lifetime. In the future, the development of transversal skills plays an important role in the educational process. Transversal skills, such as critical thinking and problem-solving, creativity and innovation, self-guided learning, cooperation, civic participation and digital literacy, are raised in the framework of Education Reform in Latvia (Skola 2030, 2017). The beginning of the learning process during the stage of primary school is an essential step in transversal skills acquisition, particularly emphasizing the impact of the Classes 1-3 stage, on the further learning process. According to the outcomes determined in the standard of primary education to be achieved, it is necessary to develop significantly transversal skills in this stage, as well as observe carefully the changes in children's age development that affect the possibilities of transversal skills development. The goal of the research: analyse the development of transversal skills in primary school (Classes 1-3). Research method: content analysis of the education content regulating documents and scientific literature.",2021,,,468,480
J,"Matsumoto-Royo, K; Ramirez-Montoya, MS; Glasserman-Morales, LD",,,"Matsumoto-Royo, Kiomi; Ramirez-Montoya, Maria Soledad; Glasserman-Morales, Leonardo David",,Lifelong Learning and Metacognition in the Assessment of Pre-service Teachers in Practice-Based Teacher Education,FRONTIERS IN EDUCATION,,"Initial teacher education should prepare pre-service teachers to develop effective teaching and lifelong learning tendencies. This study aimed to identify the component to consider in pre-service teachers' assessment processes that promote lifelong learning and develop metacognition skills. For this, it analyzed how the planned and implemented actions by the teacher educators in Practice-based Teacher Education programs promoted metacognition and lifelong learning in the pre-service teachers. The method was a mixed explanatory sequential design. Quantitative and qualitative instruments were applied. Information was obtained from the learning and assessment resources (72 syllabi and 14 assessment tasks) and pre-service teachers' opinions (survey: n = 231, interviews: n = 8). The findings identified three main components: (i) authentic and relevant assessment tasks, (ii) prior communication of instructions and evaluation criteria, and (iii) frequent performance-focused feedback from peers and teacher educators during and at the end of assignments. The study results can be valuable in teacher education programs to strengthen assessment processes, promote lifelong learning tendencies, and develop metacognitive skills among the teachers in training.",2022,7,,,
J,"Blaschke, LM",,,"Marie Blaschke, Lisa",,The dynamic mix of heutagogy and technology: Preparing learners for lifelong learning,BRITISH JOURNAL OF EDUCATIONAL TECHNOLOGY,,"With the swift pivot to online learning, teachers and students have been forced to adopt a new way of teaching and learning, which has required students to become more self-directed in their learning. In addition, teachers are faced with the challenge of preparing students for the workforce and lifelong learning. One emerging approach for addressing both these challenges is that of heutagogy, or self-determined learning. This paper discusses the rising demand for lifelong learning skills and the role that heutagogy can play in supporting students in developing self-directed and lifelong learning skills. Specifically, the paper presents a case study of a higher education institution that has introduced heutagogy, using interviews with programme leaders/instructors to investigate how a college in Israel incorporated heutagogy into their master's education programmes. Case study results reveal that there are challenges in incorporating heutagogy (eg, difficulty for students in adopting the approach), but once adopted, students preferred learning in a self-determined way. Practitioner notes What is already known about this topic? Lifelong learning skills are critical to student employability, and there is a need for exploring new theories and approaches for developing these skills. The current pandemic has forced traditional learning into the online space, requiring more self-directed learning skills in learners. Heutagogy has been identified as a net-centric teaching and learning theory for online learning. What this paper adds Positions heutagogy for use in traditional and online classroom settings in order to develop learners' self-directed and lifelong learning skills. Explores the pedagogy-andragogy-heutagogy continuum and its use as an instructional strategy. Presents a case study of a higher education institution that has implemented self-determined learning. Implications for practice and/or policy This study encourages further research into use of heutagogy for developing self-directed and lifelong learning skills. This study provides guidance for those who want to introduce self-determined learning into classroom settings.",2021,52,4,1629,1645
J,"Conesa, J; Garcia-Alsina, M; Batalla-Busquets, JM; Gomez-Zuniga, B; Martinez-Arguelles, MJ; Monjo, T; Mor, E; Gil, MDC",,,"Conesa, Jordi; Garcia-Alsina, Montserrat; Batalla-Busquets, Josep-Maria; Gomez-Zuniga, Beni; Martinez-Argueelles, Maria J.; Monjo, Tona; Mor, Enric; Del Carmen Cruz Gil, Maria",,A vision about lifelong learning and its barriers,INTERNATIONAL JOURNAL OF GRID AND UTILITY COMPUTING,,"Around 25 years ago, some researchers argued for moving towards innovative learning models characterised by being more personalised and where the students would have a more active role in deciding what to learn, when to learn and how to learn. Nowadays, there is a need for a flexible, efficient, universal and lifelong education. Lifelong learning is fully integrated into our society and, from the student point of view, it is very different from regular learning. Among these differences there is the maturity of students, the fact that the domains of interest are much broader, the way how learning occurs at different depths, the fact that the topics to study may be related to work, family and leisure, and that students have little availability due to their necessity to conciliate home, work, leisure and learning. Lifelong learning requires personalised models that adapt to students' needs and constraints, but lifelong learners keep suffering from models that are adapted neither to their necessities, nor to the needs of society. This paper reflects on the actual situation of lifelong learning, analyses some of the relevant literature and discusses the challenges to conceptualise, from a transdisciplinary point of view, innovative e-learning models that promote self-determination of students.",2023,14,1,62,71
J,"Dolan, AM",,,"Dolan, Anne M.",,Reforming teacher education in the context of lifelong learning: the case of the BEd degree programme in Ireland,EUROPEAN JOURNAL OF TEACHER EDUCATION,,"Lifelong learning has become a prominent fixture in educational policy in recent years in many countries around the world. In terms of teacher education, it is now widely accepted that initial teacher education is insufficient for the lifelong professional needs of teachers. From September 2012, initial teacher education in Ireland will be offered as a radically different four-year BEd degree programme. This reform of initial teacher education offers immense potential for teacher educators to re-imagine their programmes in light of a range of guiding paradigms and theoretical frameworks, including lifelong learning. This paper provides a rationale for developing programmes in initial teacher education in the context of lifelong learning. A number of recommendations for lifelong primary teacher education are offered in light of current reforms that are taking place in Ireland.",2012,35,4,463,479
C,"Stohr, C; Farnevik, K",,,"Stohr, Christian; Farnevik, Karin",,May online blended learning in corporate training enhance lifelong learning? Experiences from Artificial Intelligence courses for professionals,2020 IEEE FRONTIERS IN EDUCATION CONFERENCE (FIE 2020),Frontiers in Education Conference,"This Work in Progress paper presents an ongoing study of blended learning approaches applied to Artificial Intelligence (AI) online courses in professional education. Online learning events have gained significant importance as companies and individuals are increasingly required to engage in lifelong learning and capacity building. Still, factors that enhance or hinder professionals' ability to take on lifelong learning through education and put new knowledge into practice are underexplored. We present our conceptual framework and research design based on well-developed theoretical and operationalized concepts from cognitive, meta-cognitive and motivational theories of learning. The expected results reveal key factors affecting individuals learning in online corporate training and their implications for educational practice.",2020,,,,
J,"Milana, M; Klatt, G; Tronca, L",,,"Milana, Marcella; Klatt, Gosia; Tronca, Luigi",,Towards a network governance of European lifelong learning: a structural analysis of Commission expert groups,INTERNATIONAL JOURNAL OF LIFELONG EDUCATION,,"The influence of the European Commission (EC) expert groups on policy coordination within the European Union has received a growing interest among researchers, who have assessed their role in policy-making processes, their participation patterns, their transparency, and their knowledge-generating process. This article interrogates the structural configuration of the networks, and the relationships between the actors, formed through the Commission expert groups on adult learning, and under the Education and Training 2020 work programme, respectively, by means of a Social Network Analysis. So attention is paid on the mutual-constitutivness of a social network and its members, or the potential power within a network, and of a network, to influence member states' domestic adaptation of communitarian policies. Our analysis points at noticeable differences between the connectivity of each of the Commission expert groups, and the groups emerging from the two forms of network governance these produce in the adult learning, and education and training domains. A key result, however, is that two actors (i.e. Flemish Department for Education and Training, Ministry of Education and Culture of Finland) stand out as fully embedded in both forms of network governance, and represent highly connected 'informal' brokers across policy domains.",2020,,,,
J,"Lester, S",,,"Lester, Stan",,Sequential schooling or lifelong learning? International frameworks through the lens of English higher professional and vocational education,EDUCATION AND TRAINING,,"Purpose - The purpose of this paper is to review three international frameworks, including the International Standard Classification of Education (ISCED), in relation to one country's higher professional and vocational education system. Design/methodology/approach - The frameworks were examined in the context of English higher work-related education, and areas of mismatch identified. These were investigated to identify the extent to which they were due to weaknesses in the national system or to limiting assumptions contained in the frameworks. Findings - Assumptions based on stages of education are problematic in the context of lifelong higher and professional education, while more open, lifelong-learning oriented assumptions can be too skeletal to aid comparisons between systems of initial vocational education and training. Particular problems are identified with assumptions contained in the ISCED that do not reflect the reality of professional education. Practical implications - International frameworks need to take account of patterns of learning that take place outside of formal institutions and throughout life, but which lead to equivalent outcomes. Nevertheless, it is not adequate to substitute assumptions based only on the level of achievement. Social implications - The assumptions underpinning the ISCED in particular mean that equivalent achievements in different systems can be classified differently, leading to under-reporting of individual achievements, a lack of comparability in international statistics, and potential for policy distortion. Originality/value - The paper builds on the work of Hippach-Schneider et al. by providing additional evidence, from a different national context, for issues relating to the ISCED in the context of higher professional and vocational education, and extends this analysis to the two major European frameworks.",2018,60,2,213,224
J,"Macuzic, I; Giagloglou, E; Djapan, M; Todorovic, P; Jeremic, B",,,"Macuzic, Ivan; Giagloglou, Eva; Djapan, Marko; Todorovic, Petar; Jeremic, Branislav",,Occupational safety and health education under the lifelong learning framework in Serbia,INTERNATIONAL JOURNAL OF OCCUPATIONAL SAFETY AND ERGONOMICS,,"Serbia is aligning with European Union requirements and the occupational safety and health (OSH) administration is one of the most representative sectors of this alignment. Many efforts were made in this field, by introducing new laws and regulations, but it turned out to be insufficient. OSH professionals need to renovate and strengthen their knowledge in accordance with continuous, updated and improved OSH standards and regulation. Lifelong learning (LLL) programmes can contribute to forming professionals who are always up to date. This paper presents an implemented LLL programme, over the duration of two academic years, dedicated to OSH professionals, and investigates whether this programme will be helpful and accepted by professionals. The results from the study show that the given LLL programme had indeed a positive influence on the professional careers of the participants and that the LLL presents the future trend in OSH education.",2016,22,4,514,522
